NAME	TITLE	SCORE	
Dbf4	na	1.4474325	
Tmem154	na	1.447128	
Naprt1	na	1.4465595	
Setbp1	na	1.4455506	
Esd	na	1.4455082	
Raph1	na	1.4435176	
Bmp7	na	1.4434319	
Arhgef39	na	1.438891	
Nat9	na	1.4377942	
Ly6a	na	1.4365623	
Slc35a2	na	1.433634	
Pigq	na	1.4310912	
Extl1	na	1.4236559	
Sdhd	na	1.4226197	
Adora2a	na	1.420815	
Tjp3	na	1.4193377	
Spag7	na	1.4147187	
Calhm2	na	1.4136322	
Ocel1	na	1.411664	
Psmd1	na	1.4096558	
Ccar2	na	1.4066103	
Arih2	na	1.4061333	
Pcdhga9	na	1.4045668	
Spopl	na	1.4044747	
Morf4l1	na	1.4033341	
Dennd3	na	1.398778	
Krt83	na	1.3974075	
St3gal4	na	1.3971199	
Fbxl17	na	1.3964775	
D030056L22Rik	na	1.3951155	
Mybl2	na	1.3925145	
Spag5	na	1.3921242	
Rangap1	na	1.3920147	
AK157302_1	na	1.3913362	
Egln3	na	1.3909978	
Elk1	na	1.3883718	
Timm13	na	1.3878344	
Gm5884	na	1.3871793	
Tmem256	na	1.3848174	
Cnih1	na	1.3833761	
Rsu1	na	1.3833654	
Phgdh	na	1.3833641	
Unc5a	na	1.3831377	
Cdc25b	na	1.3829831	
Adam8	na	1.3826016	
Ubash3b	na	1.3803736	
1500009L16Rik	na	1.3802291	
Gid4	na	1.3797772	
Prim2	na	1.3774135	
Ggct	na	1.3767343	
Cstb	na	1.3747742	
Gm9797	na	1.3747356	
Nmt1	na	1.3737975	
Ccna2	na	1.3734711	
Kif18b	na	1.3704908	
Suclg1	na	1.3694197	
Syt11	na	1.3683589	
Rab8b	na	1.3680695	
Ddx43	na	1.365907	
Aldoa	na	1.3638061	
Cox7c	na	1.3635197	
Msh5	na	1.3630561	
Tm7sf3	na	1.3619404	
Phactr2	na	1.3603755	
Pygb	na	1.3599329	
Grn	na	1.3581587	
Smim14	na	1.3579948	
Slx4ip	na	1.3577929	
Cyfip1	na	1.3569613	
Serinc3	na	1.3544784	
