NAME	TITLE	SCORE	
Poc1a	na	2.0589368	
Kif18b	na	2.0543668	
Ccnb1	na	2.0520644	
Tanc2	na	2.0512097	
Ighm	na	2.0502665	
Stx6	na	2.0496504	
Uqcrb	na	2.049457	
Cebpa	na	2.0478287	
Ahnak	na	2.0475135	
Cenpe	na	2.045231	
Srsf2	na	2.0436819	
Noxa1	na	2.0404296	
Kif20b	na	2.0357304	
1700040L02Rik	na	2.0351608	
1190002N15Rik	na	2.030721	
Cenpl	na	2.030667	
Tbrg4	na	2.029415	
Rgs12	na	2.022464	
Gcnt1	na	2.0222197	
Impa2	na	2.0211608	
Capg	na	2.0166547	
Rangap1	na	2.0156267	
1700017B05Rik	na	2.012858	
Ehd4	na	2.0086303	
Impa1	na	2.007752	
Cd44	na	2.0042417	
Tubb4b	na	1.9969903	
Sfxn1	na	1.9962641	
Ubl4	na	1.995891	
Galk1	na	1.9946771	
Wbp5	na	1.9917519	
Nme1	na	1.9879726	
Gas2l3	na	1.9862587	
Tfrc	na	1.9861859	
Gm21972	na	1.9836739	
Flywch1	na	1.9823003	
AI662270	na	1.9679716	
Atp5g1	na	1.966286	
Mastl	na	1.9609001	
Aqp3	na	1.9608496	
Prkar1a	na	1.9583416	
Alad	na	1.9568905	
S100a10	na	1.9564878	
Car5b	na	1.9532597	
Whsc1	na	1.9525584	
Fam83d	na	1.951114	
Matk	na	1.9501314	
Rilpl2	na	1.9476159	
Snrpa	na	1.9472444	
Gcat	na	1.9467031	
Marcks	na	1.9466889	
Ptpn5	na	1.94316	
Lamc1	na	1.9423522	
1700037H04Rik	na	1.9399889	
Ptma	na	1.9377601	
Spsb3	na	1.9373977	
Gm6169	na	1.9331582	
Hdgf	na	1.9320172	
Cenph	na	1.92843	
Kbtbd4	na	1.9273636	
Ncaph	na	1.9229014	
Trim46	na	1.9181839	
Arhgap33	na	1.9164954	
Gskip	na	1.9149747	
Gtf2e2	na	1.9146423	
Clic1	na	1.9134843	
Ints9	na	1.9104278	
Alg8	na	1.908038	
Ybx1	na	1.907751	
Lsm6	na	1.9070996	
Ranbp1	na	1.904742	
Cenpa	na	1.9042593	
Rtkn2	na	1.9041603	
Hmgn5	na	1.903371	
Slc39a4	na	1.9012244	
Axl	na	1.8985676	
Akr1e1	na	1.8981264	
Apaf1	na	1.89773	
Osbpl3	na	1.8973174	
Mrpl12	na	1.8925221	
Phyh	na	1.8919773	
Rgs16	na	1.8889958	
Zfp689	na	1.884995	
Zdhhc2	na	1.8836173	
Kif2c	na	1.8820615	
Golt1b	na	1.8792067	
Aldoa	na	1.8789228	
Rab8b	na	1.878014	
Anp32b	na	1.8747462	
Cep85l	na	1.8714852	
Lca5	na	1.8676422	
Cdk2ap1	na	1.8586456	
Urb1	na	1.8545629	
Srbd1	na	1.8496579	
Gzmb	na	1.8455733	
Fancd2	na	1.8410181	
Gstm4	na	1.8346674	
Hsp90b1	na	1.8310462	
Brca1	na	1.8286775	
Ipo5	na	1.8258142	
Rbmx	na	1.8253534	
Cenpf	na	1.8249772	
Ctsb	na	1.8234643	
Nhp2l1	na	1.814076	
Mcm2	na	1.8137321	
Slc6a13	na	1.8136811	
Dlk1	na	1.8115681	
Pmch	na	1.8094302	
2700029M09Rik	na	1.809124	
Stil	na	1.8035265	
Rin2	na	1.8008214	
Bcl2a1d	na	1.8008089	
Mcm7	na	1.8004705	
Pten	na	1.7999977	
Map2k3	na	1.7956525	
Zfp341	na	1.7940309	
Tceb3	na	1.7896174	
Pnkd	na	1.7881986	
Polr2m	na	1.7850684	
Fh1	na	1.7849286	
Plk4	na	1.7838615	
Kntc1	na	1.7820976	
Fcrl1	na	1.7815143	
Nelfcd	na	1.7793946	
Nf2	na	1.7789687	
Sccpdh	na	1.7788746	
Sdhd	na	1.7764729	
Myadm	na	1.7741956	
Hnrnpab	na	1.7715062	
Cybb	na	1.7703196	
Tg	na	1.7688812	
Bub3	na	1.7682792	
Clip3	na	1.7675436	
Ptpmt1	na	1.7655817	
Sdhb	na	1.764603	
Mesdc1	na	1.7628413	
Gmnn	na	1.7603794	
Prim1	na	1.7603306	
Adam19	na	1.7588402	
Plxnd1	na	1.7581837	
Nlrx1	na	1.7568225	
Susd3	na	1.7552392	
Mif	na	1.7544436	
Gnb4	na	1.7542952	
40795	na	1.7542472	
Incenp	na	1.750566	
Zmym1	na	1.746235	
Skap2	na	1.7458718	
Kif22	na	1.7453827	
Ska3	na	1.7427955	
Pbk	na	1.7378471	
0610010K14Rik	na	1.7370499	
Ada	na	1.7362034	
Ung	na	1.7358203	
Abcb1b	na	1.735431	
Fam129a	na	1.7331916	
Etf1	na	1.7331228	
Tmem237	na	1.7316375	
Prdm1	na	1.7295481	
Pold1	na	1.729087	
Syne2	na	1.7281864	
Cox5b	na	1.7239519	
Arpc4	na	1.7207907	
St14	na	1.7194496	
Caskin2	na	1.719441	
Wdr61	na	1.7189674	
D1Ertd622e	na	1.7152717	
Pmf1	na	1.7086025	
Arnt2	na	1.7032409	
Cpd	na	1.7017055	
Wdr75	na	1.7006886	
E130218I03Rik	na	1.6980623	
Rfc5	na	1.697639	
Grn	na	1.697614	
Coprs	na	1.6968023	
Ehd1	na	1.6958629	
Nap1l1	na	1.6948483	
Pdap1	na	1.6936278	
Cited2	na	1.6931908	
Fkbp2	na	1.692755	
Mafg_1	na	1.6918225	
Pank1	na	1.6884941	
Snrpa1	na	1.688332	
Dpy19l1	na	1.6847155	
Caprin1	na	1.6812907	
Hist1h3c	na	1.680754	
BC064078	na	1.6799666	
Erh	na	1.677095	
Capzb	na	1.6751612	
Apitd1	na	1.6743258	
Mettl9	na	1.6735106	
Cox8a	na	1.673132	
Bub1	na	1.6729169	
P4hb	na	1.6721917	
E2f4	na	1.6721878	
E2f7	na	1.6711901	
Gtf2h5	na	1.671166	
Ube2m	na	1.6676481	
Mrpl4	na	1.6666073	
Gna15	na	1.6663198	
Itgb1	na	1.6655759	
Mrps6	na	1.6654223	
Snx5	na	1.6623055	
Mlst8	na	1.6611003	
0610009D07Rik	na	1.6598599	
Sars2	na	1.6578366	
Pcyt1b	na	1.6573464	
Cc2d2a	na	1.6567106	
Cmtm7	na	1.6553539	
Tshz1	na	1.6522299	
Mrpl51	na	1.6516943	
Itm2c	na	1.651301	
Nop9	na	1.6507927	
Hmgn1	na	1.6496519	
Cd82	na	1.6489935	
Tnfrsf4	na	1.6452717	
2810004N23Rik	na	1.6448568	
Canx	na	1.6446013	
Esco2	na	1.6443403	
Psmd14	na	1.6422956	
Usmg5	na	1.6413581	
Tyms	na	1.640459	
Dap	na	1.6395696	
Uqcc2	na	1.6391902	
Mybl2	na	1.637676	
Rad54b	na	1.6355361	
Rap1gap2	na	1.6347429	
Clybl	na	1.6330271	
Ints10	na	1.6329565	
Ifi30	na	1.6326569	
RP23-45G16.5	na	1.6325456	
Sec11c	na	1.6319591	
Cdc25c	na	1.6301467	
Anxa5	na	1.6292566	
Plk3	na	1.6281818	
H2-Oa	na	1.6264886	
Alyref	na	1.6254414	
Plk1	na	1.6238137	
Galm	na	1.6195519	
Bcat1	na	1.619475	
Id2	na	1.6142983	
Gm15163	na	1.6136246	
Mrps26	na	1.6126245	
Pfkfb4	na	1.6121898	
Appl2	na	1.6103646	
Psmd3	na	1.6095425	
Mrps12	na	1.6087451	
Gm6710	na	1.6067176	
Pmpca	na	1.6060076	
Ptprv	na	1.6039665	
Lamtor4	na	1.6033008	
Rgcc	na	1.6013749	
Gm4924	na	1.6010038	
Ube2t	na	1.6004143	
Il13ra1	na	1.5977268	
Timm50	na	1.5951295	
Srgn	na	1.5931168	
9530068E07Rik	na	1.5906185	
Atp5b	na	1.5903862	
Podnl1	na	1.5880097	
Ect2	na	1.5878711	
Slc43a3	na	1.586845	
Ptplad1	na	1.5860624	
Trip13	na	1.5843976	
Cmss1	na	1.5833414	
Aurkb	na	1.582278	
B9d2	na	1.5803841	
Gipc1	na	1.5801419	
Ubl5	na	1.5796301	
Nudt21	na	1.578708	
Sh3bp4	na	1.5761298	
Abcb1a	na	1.5756823	
Lcorl	na	1.5745256	
Stk32c	na	1.5739694	
Dnajb11	na	1.5728726	
Cdca7	na	1.5722452	
Mt1	na	1.5705967	
Dynlt1a	na	1.5702776	
Atp5g3	na	1.5699741	
Dynll2	na	1.5698459	
Ndufaf7	na	1.5674939	
2700094K13Rik	na	1.5650214	
Eif2b4	na	1.5639447	
Asns	na	1.5624617	
Tmem14c	na	1.5620202	
Jdp2	na	1.5618565	
Pwp1	na	1.5611058	
Rcc1	na	1.5609692	
Cdv3	na	1.5606308	
