"Feature ID"	"LNTcon1"	"LNTcon2"	"LNTcon3"	"LNTfh1"	"LNTfh2"	"LNTfh3"	"LNTreg1"	"LNTreg2"	"LNTreg3"	"LNTfr1"	"LNTfr2"	"LNTfr3"	"SpleenTcon1"	"SpleenTcon2"	"SpleenTcon3"	"SpleenTfh1"	"SpleenTfh2"	"SpleenTfh3"	"SpleenTreg1"	"SpleenTreg2"	"SpleenTreg3"	"SpleenTfr1"	"SpleenTfr2"	"SpleenTfr3"	"BloodTcon1"	"BloodTcon2"	"BloodTcon3"	"BloodTfh1"	"BloodTfh2"	"BloodTfh3"	"BloodTreg1"	"BloodTreg2"	"BloodTreg3"	"BloodTfr1"	"BloodTfr2"	"BloodTfr3"	"EZH2EXP_F_p_Treg_1"	"EZH2EXP_F_p_Treg_2"	"EZH2EXP_F_p_Treg_3"	"EZH2EXP_F_p_Tfr_1"	"EZH2EXP_F_p_Tfr_2"	"EZH2EXP_F_p_Tfr_3"	"FoxDownFoxP_Tfr_1"	"FoxDownFoxP_Tfr_2"	"FoxDownFoxP_Tfr_3"	"FoxDownFoxMTfr_1"	"FoxDownFoxMTfr_2"	"FoxDownFoxMTfr_3"	"FoxDown_Tfh_1"	"FoxDown_Tfh_2"	"FoxDown_Tfh_3"	"HDM_OVA_Tcon_1"	"HDM_OVA_Tcon_2"	"HDM_OVA_Tfh_1"	"HDM_OVA_Tfh_2"	"HDM_OVA_Tfr_1"	"HDM_OVA_Tfr_2"	"HDM_Tfh_1"	"HDM_Tfh_2"	"HDM_Tfr_1"	"HDM_Tfr_2"	"FoxF_CreN_Tcon_1"	"FoxF_CreN_Tcon_2"	"FoxF_CreN_Tcon_3"	"FoxF_CreN_Tcon_4"	"FoxF_CreN_Treg_1"	"FoxF_CreN_Treg_2"	"FoxF_CreN_Treg_3"	"FoxF_CreN_Treg_4"	"FoxF_CreN_ICOS_1"	"FoxF_CreN_ICOS_2"	"FoxF_CreN_ICOS_3"	"FoxF_CreN_ICOS_4"	"FoxF_CreN_Tfr_1"	"FoxF_CreN_Tfr_2"	"FoxF_CreN_Tfr_3"	"FoxF_CreN_Tfr_4"	"LN_tfr_treg"	"LN_tfr_tfh"	"LN_tfr_tcon"	"SP_tfr_treg"	"SP_tfr_tfh"	"SP_tfr_tcon"	"BL_tfr_treg"	"BL_tfr_tfh"	"BL_tfr_tcon"	"diffexpressed_FC"
"Dstn"	2.792	5.541	0.87	46.576	26.369	34.561	0	40.211	60.741	43.967	71.085	90.41	11.341	8.959	11.614	47.114	77.445	82.629	52.209	18.737	0	73.196	25.666	40.969	1.803	3.193	9.177	46.581	8.844	26.44	2.386	43.964	18.639	30.761	21.877	34.327	1.0673343911	37.9279090846	0	43.665456298	66.6186616268	4.4309153828	109.4419229048	152.1070506525	100.0800107746	79.3819710889	39.9213029619	78.34905242	66.7169582951	72.7059150055	76.9046993184	46.780001	16.6651456	23.673061	39.7978736	69.2366185	15.6844908	26.1182298	34.1565051	55.1327351	60.9295865	7.3402516565	44.3432637144	17.651997489	29.8557507918	0	19.1816308626	21.9999252003	0	38.5396912306	39.5589935637	44.0675933279	42.4060542797	19.1793311725	75.9288787157	65.7999542863	34.4694066781	"1.76779985576086"	"2.05679812505425"	"25.4602435530086"	"2.18652932700005"	"-1.89033171422295"	"3.61246803632837"	"1.65035677879715"	"1.16342662632375"	"9.63388662699655"	"UP"
"Plekhb2"	31.409	67.045	25.237	140.464	158.047	89.245	55.106	61.863	107.629	139.386	101.296	109.353	18.961	72.183	40.9	142.401	112.295	146.745	83.85	113.464	56.028	159.363	105.087	206.771	52.552	58.334	67.571	98.656	88.901	151.458	33.406	167.965	72.863	127.318	106.105	138.144	59.2370587039	36.2546189779	49.0372356076	160.9152926536	131.5400325116	51.6940127994	97.1680623921	84.2313237484	95.288946429	173.7199657162	130.1781618323	65.0444963486	192.0958090543	218.9080267014	198.5654121745	24.120938	57.1376422	119.005117	117.345201	120.567215	137.239294	69.4843473	32.6714397	62.4837665	111.911485	44.8570934561	57.729909364	35.303994978	0	50.3184356456	21.2007499008	40.6998616205	74.780805953	124.921757782	58.9914816301	150.3749834179	71.764091858	131.304651873	116.6712038802	159.3051524827	140.1755871576	"1.76766403181223"	"-1.2845006538458"	"3.48158171224808"	"1.90057245080501"	"1.11911433206227"	"3.89640586797066"	"1.74736148662558"	"1.29052465131366"	"2.18256934206466"	"UP"
"Psmd2"	169.61	121.899	85.283	202.116	174.643	162.822	102.092	124.241	185.42	213.289	219.474	226.456	135.384	128.496	104.27	150.528	167.654	151.486	113.91	167.073	136.464	136.2	261.506	275.213	106.907	133.409	145.579	96.984	152.201	107.065	64.426	111.037	136.123	154.662	65.632	276.289	53.9003867486	129.9588649515	262.8940686739	188.0040479495	154.4534575298	87.879821759	209.9341558525	171.7337668657	127.7617158824	211.6852562369	224.7742927637	100.5233125388	224.6662926314	203.1023930046	133.6376742254	91.3671894	46.0275451	190.664113	172.945171	155.185524	193.115293	151.288614	126.725584	261.574199	209.730414	131.3089462987	118.8064801405	145.6289792843	41.3387318655	66.3288469874	110.0419875804	148.4994951017	170.2701427853	188.0471141081	161.7060614094	295.2983058055	228.3402922756	70.8159920214	318.5309058315	229.3378523665	178.0919345035	"1.76651829911221"	"1.25670081251467"	"1.80045775601112"	"1.91630026966819"	"1.72627173468175"	"2.0351294981945"	"1.39288705566613"	"1.44456171484612"	"1.1593070932246"	"UP"
"Erap1"	41.181	9.419	26.977	25.372	17.692	33.947	0	31.962	18.649	37.887	32.877	25.401	28.707	15.614	29.287	26.619	22.23	15.126	8.438	24.462	13.314	32.892	24.214	12.532	14.005	24.507	25.193	24.604	24.901	19.585	19.686	6.764	10.732	17.944	22.971	0	105.6661047151	39.0434358224	54.4858173417	33.9620215651	37.7647190114	31.0164076797	50.6296746148	16.3555968444	12.7761715882	73.6296543433	9.5463985344	0	18.9118936899	44.5718870251	11.3465949814	37.2778133	26.188086	38.3887475	43.8947136	11.937348	55.8759984	7.88474863	51.9772904	71.0599697	17.8229403	41.5947593866	25.9366259462	60.6787413684	6.8897886443	51.4620364557	36.3441426871	9.8999663401	50.6208532605	5.9802969151	14.5743660498	20.4437288635	26.5620339994	13.277998504	12.9634670978	13.4678269007	34.4694066781	"1.76293635047456"	"1.2957985180514"	"1.21870482262668"	"1.81868709628962"	"1.08924876293297"	"-1.18555381184439"	"1.67200894521059"	"-1.37115470352207"	"-1.36574899687918"	"UP"
"Pygb"	50.255	12.375	47.863	55.769	44.229	36.558	46.405	37.118	59.675	70.161	115.069	81.8	35.264	45.818	61.098	49.705	40.013	60.617	44.298	31.229	37.167	51.422	82.326	81.937	18.996	28.477	25.733	25.082	35.839	42.761	41.757	42.837	51.964	0	45.942	77.863	69.376735419	22.8682981245	67.4261989604	53.3688910308	89.1077639595	91.5722512447	43.2142172218	53.9734695864	57.4927721471	69.0278009468	6.9428352977	44.3485202377	50.081496253	55.319717939	51.2697995456	21.9281255	59.5183773	60.7821835	33.9452451	40.5869833	26.4675782	34.4957753	36.6316142	16.5398205	31.0865237	30.9921736606	41.8332676551	40.8202441933	62.0080977983	77.7648550886	76.7265234506	39.5998653605	20.7085308793	50.5002850608	32.6188192543	45.4305085855	81.0841037877	30.9819965094	92.5961935557	66.1847493407	16.0857231164	"1.76274108393492"	"1.84946528295914"	"1.70904456469507"	"2.2045631877741"	"1.64846594909969"	"1.78831463616919"	"1.07248406751173"	"1.28189960657384"	"1.78533400691719"	"UP"
"Glcci1"	6.282	14.406	17.695	21.327	6.992	0.461	78.889	111.869	69.799	184.289	139.06	2.583	8.506	7.167	25.5	11.661	13.768	9.256	6.328	56.732	1.109	59.761	2.421	66.032	14.143	12.901	25.283	0.239	5.12	10.609	2.983	1.691	41.232	3.418	2.188	5.861	5.3366719553	77.5291082758	49.7183083243	47.3042443228	46.6754954073	13.2927461484	27.3604807262	20.4444960554	8.5174477255	14.9560235385	3.4714176489	0	19.4372240702	8.0608731854	12.3972056278	2.19281255	1.58715673	0	2.04841997	9.54987842	18.6253328	0.49279679	0.99004363	5.51327351	3.31589587	0.8155835174	21.7532991807	2.2064996861	11.4829810738	27.446419443	13.1242737481	57.1998055207	55.2227490115	28.5725297055	0.6940174309	24.0781695503	38.6780495079	7.3766658356	1.8519238711	34.2467598332	21.8306242295	"1.76272991164801"	"19.8884439359268"	"9.65292239344717"	"9.44390012642225"	"5.12486064659978"	"7.02574653185986"	"1.14582634931277"	"-1.4979520187244"	"-4.1377998829725"	"UP"
"Hmgcr"	77.476	47.467	37.71	90.579	90.397	76.803	2.32	53.099	53.814	70.161	96.853	93.424	59.186	52.473	71.449	52.296	79.74	87.37	65.393	36.954	41.605	102.845	68.766	119.532	31.614	38.012	49.306	37.743	47.476	59.898	44.144	59.746	50.834	9.399	51.412	51.909	44.8280444246	36.8123823468	18.3889633528	66.306804008	48.3727861494	71.6331320221	168.5098766221	250.2406317186	191.1102333408	52.9213140592	23.4320691298	38.435384206	83.8777507174	146.0440553589	82.5779968091	56.2821887	74.5963662	78.0571199	94.5199499	122.954685	121.554804	58.6428179	136.130999	56.357907	113.154946	31.807757178	38.4866062427	71.7112397991	4.5931924295	137.2320972152	49.4684164352	92.3996858411	73.6303320153	81.0662470713	82.5880742821	71.780203565	99.7241276469	97.3719890294	27.7788580667	97.3531487394	113.7490420377	"1.75943049774949"	"1.03348562452294"	"1.96818842564308"	"2.47193846893402"	"1.28975420115375"	"1.73765755415132"	"1.01137034268403"	"1.08290504676047"	"1.35252025676102"	"UP"
"Slc35e1"	52.349	88.285	46.703	62.388	68.408	77.417	15.662	82.484	36.764	36.951	89.3	64.579	69.464	36.347	47.212	72.202	65.541	56.102	48.517	24.462	22.189	34.745	37.773	71.816	48.115	44.916	34.91	57.569	100.537	95.804	18.493	24.237	55.353	23.926	35.004	29.303	46.9627132067	0	14.3025270522	84.9050539127	56.8592398599	58.3403858737	76.2002173496	50.7023502175	78.254050978	70.1782642959	12.149961771	57.653076309	81.7764291963	90.8823937569	80.0565312577	27.7756256	23.0137726	40.9479973	62.3304932	89.5301102	108.811155	61.1068019	41.0868105	43.4936022	33.9879326	136.202447403	46.0165944206	43.0267438794	89.5672523753	65.1852461772	1.0095595191	53.8998167406	34.5142181322	80.4017696363	74.2598651108	60.8768815045	82.4821055771	19.1793311725	127.7827471068	26.9356538014	71.2367738014	"1.75658252638451"	"-1.05929172021865"	"1.23362432902252"	"1.54415011037528"	"-1.7351282662219"	"-1.24988748577026"	"1.20901926806123"	"-3.26942633860014"	"-1.53281234003344"	"UP"
"Heatr3"	6.282	63.535	39.451	40.448	37.153	49.614	20.302	44.851	30.903	54.258	37.764	74.05	32.605	58.617	41.405	42.049	41.161	39.96	14.766	0	11.649	31.039	11.138	38.077	40.35	35.337	35.09	28.665	10.007	33.131	42.95	1.127	19.769	18.799	92.979	54.42	63.5063962682	32.3502753957	62.658689943	46.0913149812	47.9484634639	2.9539435885	7.6711628204	0	46.8459624902	0	33.8463220764	0	22.2389860984	15.3314646859	17.4401367307	50.4346885	52.376172	47.3461219	59.6968104	64.4616793	52.9351564	41.3949303	20.7909162	51.4572194	57.6136907	39.1480088344	85.3398660164	26.4779962335	62.0080977983	28.5900202532	0	23.0999214603	71.3293841398	25.9146199654	51.3572898897	33.6185763532	67.5700864897	35.4079960107	74.0769548445	89.272452599	48.2571693493	"1.75575186875061"	"1.34142602848101"	"1.37532635421155"	"2.6645205597047"	"-1.32610586681272"	"-1.33396694481137"	"2.7527947797056"	"1.89848246991104"	"1.54002886492911"	"UP"
"Spo11"	11.866	0.554	5.221	7.232	17.692	6.451	0	1.547	1.066	1.871	4.443	0	5.848	1.792	3.03	10.836	2.438	12.53	0	0	0	6.486	0	0	10.954	5.48	6.028	8.6	8.611	10.609	0	0	0	0	0	13.396	33.6210333184	0	14.983599769	0	0.4243226855	27.323978194	12.2738605127	0	0	0	2.6035632366	0	4.9030835492	5.8480844678	7.354274525	0.73093752	0.79357836	0	8.19367986	2.3874696	1.96056135	4.4351711	2.47510907	6.7384454	0.82897397	0	9.2033188841	16.5487476459	0	4.5744032405	0	0	0	0	9.0222266022	0	2.7960035789	0	0	0	0	"1.75515947467167"	"-3.86531266702298"	"-2.79048637092464"	"NaN"	"-Inf"	"-Inf"	"NaN"	"-Inf"	"-Inf"	"UP"
"Gm17494"	260.349	78.865	31.038	261.808	77.76	241.775	516.26	111.353	15.452	466.336	195.039	104.617	150.8	286.684	97.201	209.302	345.061	191.559	36.388	31.229	386.647	256.649	708.004	317.628	98.726	295.08	267.855	62.825	154.994	189.16	257.703	631.277	129.91	40.161	1031.516	261.218	484.569813542	271.0729972809	127.3605980363	217.9229717092	31.3998787286	118.8962294387	290.9927763217	278.8629261962	92.0949035319	118.4977249587	60.7498088551	88.6970404754	135.3601279845	89.9340557351	89.9322713341	76.0175016	117.449598	25.5924983	222.985145	101.467458	108.811155	26.6110266	34.1565051	206.441464	454.692221	296.0568168102	743.7954989077	92.6729868173	94.1604448048	120.0780850633	71.6787258551	211.1992819224	260.0071099289	33.2238717505	75.6478999727	538.3515267377	443.1665672532	44.2599950134	101.8558129112	31.9379895074	487.1676143839	"1.75153790198737"	"-1.23962387009778"	"2.47307424079123"	"8.72892162251292"	"1.51755836064634"	"2.10628647214854"	"1.01363973256035"	"1.68534265842549"	"-1.02540789685244"	"UP"
"Polr3k"	41.181	38.786	45.542	40.325	23.252	68.201	6.381	26.807	27.174	33.209	53.758	46.927	22.682	44.026	29.287	32.508	24.094	64.681	20.567	34.872	11.649	39.378	32.446	44.343	19.828	28.606	34.46	25.56	39.33	27.093	29.23	38.328	22.028	72.631	111.574	20.931	17.6110174525	23.9838248623	71.512635261	27.4930650765	22.0647796471	76.0640474049	26.8490698715	37.617872742	42.5872386275	25.3101936805	11.2821073588	31.0439641664	41.1508797883	64.0128164723	40.3434488228	8.04031267	14.2844105	21.1138111	20.1915682	21.4872264	30.3887009	18.2334812	1.48506544	56.970493	62.5875345	29.3610066258	40.1599369489	20.9617470182	27.559154577	91.4880648101	1.0095595191	133.0995474615	27.6113745057	42.5265558407	36.7829238399	39.0702373835	31.6880405607	87.0446568596	35.1865535512	81.9613465672	59.7469715754	"1.75055022941769"	"1.16371977681339"	"1.13953036594546"	"1.91462050858171"	"1.21133259505353"	"1.34455560487588"	"2.48481012658228"	"2.68080315948769"	"2.53901279451863"	"UP"
"Ass1"	14.658	14.96	19.145	17.895	23.421	19.815	62.067	52.583	48.486	81.854	93.743	91.702	26.403	24.061	23.227	19.67	28.54	22.689	31.642	31.229	31.065	82.924	53.754	28.919	29.396	19.114	30.052	24.366	30.254	40.639	51.898	74.401	39.538	59.814	117.044	72.84	15.4763486704	23.4260614934	12.2593089019	22.2370379295	41.1593004956	50.9555269023	26.0819535895	42.5245517953	30.3434075221	35.6643638225	44.260575023	35.4788161902	29.4185012955	20.231211132	27.5259989364	7.30937515	21.4266158	30.0711855	32.482088	17.906022	49.0140337	15.2767005	26.7311779	21.4405081	40.6197244	15.4960868303	21.7532991807	36.4072448211	32.1523470065	24.0156170127	38.3632617253	51.6998242206	40.2665878209	89.0399762914	113.1248412435	73.5974239084	115.5681479272	44.2599950134	62.9654116179	73.1110603182	48.2571693493	"1.74394766369359"	"4.62790815039112"	"6.1298128342246"	"1.72128470332063"	"2.36916567499669"	"2.23407173434188"	"1.40352229373001"	"2.40761552191446"	"2.47788814804735"	"UP"
