NAME	TITLE	SCORE	
Spc24	na	1.0823339	
Ptdss1	na	1.0821472	
Mrps18c	na	1.0809168	
Gm4978	na	1.0790669	
Lpar6	na	1.0790074	
Enc1	na	1.0745218	
Whamm	na	1.074389	
Gbf1	na	1.0731686	
Ube2c	na	1.0722965	
Gm15545	na	1.070615	
Vps72	na	1.0705844	
Pttg1ip	na	1.0679188	
Lats2	na	1.0676372	
Gm16246	na	1.0675361	
Sft2d2	na	1.0670395	
Tm9sf2	na	1.0666928	
Ly6a	na	1.0665587	
Igha	na	1.0662333	
Tmem143	na	1.0655699	
Yipf1	na	1.0652709	
Derl3	na	1.064698	
Tnfrsf23	na	1.0639676	
Cog1	na	1.0616856	
1500009L16Rik	na	1.0610206	
Scnm1	na	1.0603504	
Glrx5	na	1.0603342	
Gm26799	na	1.0597916	
Lcp1	na	1.0583256	
Anxa1	na	1.0577415	
Stap1	na	1.0575978	
Polr2e	na	1.0575676	
Anp32e	na	1.0573492	
Rnf144a	na	1.0571071	
Gm21953	na	1.0559449	
Hmgn2	na	1.0552458	
Rnf5	na	1.0533476	
Prdx2	na	1.0528162	
Gm20529	na	1.0528084	
Tm9sf3	na	1.052685	
Ang	na	1.0512446	
Evi2b	na	1.0472121	
Prkcb	na	1.0468841	
Repin1	na	1.0465938	
Wbscr22	na	1.0464882	
Clasp1	na	1.0461924	
Tagln2	na	1.0424958	
Ergic3	na	1.0413136	
Eepd1	na	1.0411439	
Ccdc6	na	1.0409876	
Smad2	na	1.0404197	
Ifi27l2a	na	1.03951	
Cc2d1a	na	1.0390424	
Mpp4	na	1.0377699	
Ncf2	na	1.0367607	
Micu3	na	1.036707	
Txnrd1	na	1.036243	
S100a13	na	1.0357658	
Vwa9	na	1.0348696	
AF251705	na	1.0321289	
Cep85l	na	1.0319557	
Fam114a2	na	1.0319281	
Adig	na	1.0315825	
Adk	na	1.0307236	
Baiap3	na	1.0302442	
Gm12669	na	1.029762	
Gm13826	na	1.0291858	
AA987161	na	1.0291636	
Hprt	na	1.0282044	
Gm15648	na	1.0272698	
Antxr2	na	1.0252179	
Rapgef5	na	1.024625	
Top1	na	1.0237346	
Tusc3	na	1.0235528	
Ptplad1	na	1.0218321	
H2-DMb1	na	1.0199925	
Trim8	na	1.0191154	
Ebpl	na	1.0175719	
Wdfy1	na	1.0174513	
Gm10184	na	1.0160432	
Cd209a	na	1.0154219	
Mrpl17	na	1.0153835	
Preb	na	1.014912	
Kmo	na	1.0148486	
Wbp1	na	1.0132536	
Ifitm3	na	1.0121058	
Gm7592	na	1.0120271	
AW112010	na	1.0105556	
Suv39h1	na	1.010487	
Flt3	na	1.0100528	
Parvg	na	1.0097216	
Flna	na	1.0084177	
Zcchc6	na	1.0080225	
Gm5611	na	1.0078334	
Runx3	na	1.0076693	
Il1r1	na	1.0074649	
Atp2b4	na	1.0071932	
Mcm4	na	1.0057653	
Cox6b1	na	1.0047061	
Triobp	na	1.0038923	
Tusc2	na	1.0032135	
Kif22	na	1.0015502	
Bscl2	na	1.0014801	
Cox5b	na	1.0009031	
Clspn	na	1.0007663	
Prr3	na	1.0006353	
Ptprv	na	0.99960387	
Syngr2	na	0.9995886	
1110051M20Rik	na	0.99944687	
Rbm6	na	0.9988543	
C920009B18Rik	na	0.9986808	
Lyn	na	0.9983181	
Brcc3	na	0.99823815	
Gm15753	na	0.9980103	
Iigp1	na	0.9967063	
Dazap2	na	0.9930131	
Cnpy4	na	0.99243236	
Emc7	na	0.9914202	
Efhd2	na	0.9913042	
Sypl	na	0.99119544	
Gm9803	na	0.991005	
Sgpl1	na	0.99098766	
Ccnb2	na	0.98937094	
Gm10259	na	0.9872232	
Hist2h2aa2	na	0.98692876	
E130308A19Rik	na	0.98605555	
Ofd1	na	0.9860293	
1110059E24Rik	na	0.98582494	
Ska1	na	0.98533857	
Cd4	na	0.9840805	
Cpne1	na	0.98348266	
Utp20	na	0.9834223	
Lrrc14	na	0.9831108	
Rbms2	na	0.9827887	
Nup88	na	0.9826869	
Slx4	na	0.9817649	
Klrd1	na	0.9804005	
Jak2	na	0.9793418	
Akt1	na	0.97924984	
Cenpm	na	0.97872096	
Arnt2	na	0.9786049	
Ndufa13	na	0.9767169	
Eif4a-ps4	na	0.9756999	
Pdp1	na	0.97563154	
Serpina3g	na	0.9751922	
Klrg1	na	0.9737772	
Il18bp	na	0.9734482	
Serpina3f	na	0.9734361	
Tacc1	na	0.9720882	
Reep4	na	0.9714961	
Gpc2	na	0.97149396	
Rnf32	na	0.97137797	
Nono	na	0.97134525	
Sipa1l3	na	0.9710265	
Fmr1	na	0.9704825	
Gm20390	na	0.9703313	
Gar1	na	0.9700476	
Zfp358	na	0.96924055	
Ift46	na	0.96908206	
Nucb1	na	0.96878684	
Sh3bp5l	na	0.9676578	
Cnot3	na	0.9673491	
Xlr4b	na	0.9654544	
Pdia6	na	0.9651161	
Myo10	na	0.9647088	
Gsto1	na	0.9645793	
Ccl9	na	0.9643277	
Sap30l	na	0.96377414	
Podnl1	na	0.9626472	
Vamp5	na	0.96206826	
Llgl1	na	0.959795	
Rest	na	0.959346	
Unc45a	na	0.9592529	
Ccl25_1	na	0.9585667	
Fndc3a	na	0.95848864	
Scand1	na	0.95844895	
Abcd1	na	0.95756525	
Zfp87	na	0.9572112	
Ankrd32	na	0.9571101	
Tnfrsf1b	na	0.95655537	
Txnip	na	0.9564489	
Pycard	na	0.95463055	
Plac8	na	0.9525794	
Ssr2	na	0.95134443	
Psma6	na	0.94835764	
Csrp2	na	0.94645274	
Wdr37	na	0.9462772	
Kbtbd3	na	0.943975	
Atox1	na	0.94172347	
Hist1h4b	na	0.94000846	
Ccdc162	na	0.93950784	
Mrpl20	na	0.9382219	
Gadd45b	na	0.93658084	
Rpap3	na	0.9357159	
Gm21981	na	0.9356986	
Cog2	na	0.93564063	
Gm26734	na	0.93548954	
Mpp7	na	0.93490505	
Rgs19	na	0.934873	
Tcirg1	na	0.93372726	
Slc25a4	na	0.93352944	
Arhgef11	na	0.9329759	
Tppp3	na	0.9318432	
Ostf1	na	0.93179876	
Ten1	na	0.93136865	
Polr2j	na	0.9311554	
Casc5	na	0.9285311	
Tiparp	na	0.9265014	
Lsr	na	0.9248846	
Gipc1	na	0.9241946	
Smim8	na	0.92306614	
Pet100	na	0.92280966	
Snrpb2	na	0.9225822	
Pgrmc2	na	0.92112416	
Smpdl3a	na	0.91943514	
Dusp23	na	0.9189761	
Pus10	na	0.91891545	
Rai1	na	0.9178811	
Erh	na	0.91759455	
Ankrd46	na	0.9159793	
Arl8a	na	0.9159569	
Flot1	na	0.9156236	
Capn2	na	0.9154235	
Heg1	na	0.9153131	
Bloc1s4	na	0.9125953	
Cmas	na	0.91039896	
Mgat2	na	0.9103048	
Capn12	na	0.9101472	
Psmb7	na	0.90940475	
Havcr2	na	0.90907353	
Ctla2b	na	0.9089956	
Lgals4	na	0.9078293	
BC068281	na	0.90766996	
Pcm1	na	0.90701634	
Gm11725	na	0.904977	
Mgarp	na	0.9047665	
Gna15	na	0.90408957	
Panx1	na	0.9040613	
AK157302_1	na	0.90364254	
Apmap	na	0.90292704	
Zfp407	na	0.90266216	
Mon2	na	0.9014935	
Cdc6	na	0.8994962	
1500002C15Rik	na	0.8988458	
Pacs1	na	0.8984777	
Tfip11	na	0.8982044	
Cycs	na	0.8973153	
Selt	na	0.8971054	
Gm27029	na	0.89694226	
Cln3	na	0.8956918	
Uty	na	0.89496523	
D17H6S56E-5	na	0.8943588	
Pgd	na	0.89431596	
Bloc1s2	na	0.8935231	
Pigx	na	0.8931977	
Wdr76	na	0.8928567	
Cox17	na	0.89092404	
Rpia	na	0.8902121	
Kif20b	na	0.88949096	
Ttll5	na	0.8891305	
Eea1	na	0.8886545	
Trim28	na	0.88823664	
Calcrl	na	0.88810337	
Pcna	na	0.8875077	
Smim15	na	0.8874544	
Limd1	na	0.8874422	
Smn1	na	0.8868511	
Ralb	na	0.88488674	
Topbp1	na	0.8841603	
Clec12a	na	0.8839639	
Itm2b	na	0.88388634	
D10Jhu81e	na	0.88375455	
Als2	na	0.8831895	
Fxyd5	na	0.8822742	
Arl14ep	na	0.8821278	
BC030867	na	0.880238	
Hn1	na	0.87956434	
Afg3l1	na	0.87942314	
Mapkbp1	na	0.87860423	
Ankrd40	na	0.8785352	
Arl5b	na	0.8775757	
Gm2000	na	0.87549824	
Mrps23	na	0.87503976	
Fbxw10	na	0.87475073	
Cib1	na	0.8735245	
S100pbp	na	0.8734961	
Tdrkh	na	0.87260073	
Pik3r4	na	0.8716525	
Serf1	na	0.87057954	
Tmem258	na	0.8705699	
Eif2ak4	na	0.8694526	
Tox2	na	0.86920846	
Ermp1	na	0.86871904	
Gm21586	na	0.86725575	
Mettl9	na	0.86685425	
Tiam1	na	0.8666835	
Ap4m1	na	0.8654289	
Slc27a4	na	0.8646601	
Paxip1	na	0.86442786	
Gm12216	na	0.8643265	
Acp2	na	0.86400175	
Mtmr6	na	0.86354643	
Nedd9	na	0.8630368	
Cchcr1	na	0.8623648	
Gm8292	na	0.8621718	
AA465934	na	0.8619613	
Tctex1d2	na	0.8618936	
Kpna3	na	0.8615257	
Akt2	na	0.86128736	
Ctnnbip1	na	0.8611001	
Atcay	na	0.8604882	
Get4	na	0.8601119	
Gm9917	na	0.85984236	
Ywhae	na	0.85957825	
Rangrf	na	0.858638	
Wars	na	0.8580902	
Gm8203	na	0.8573616	
Zfml	na	0.85696065	
Anapc16	na	0.8562815	
Tlk2	na	0.8562337	
Dbi	na	0.85544693	
Alas2	na	0.85539633	
Cenpv	na	0.8546989	
Timm10b	na	0.8544013	
Csf1r	na	0.8535541	
Smdt1	na	0.85329765	
Ppp1r13l	na	0.85256076	
Rab3gap2	na	0.85145026	
Mrpl46	na	0.85108054	
E2f8	na	0.8508637	
Ctla2a	na	0.8505061	
Psap	na	0.84933364	
Wfdc17	na	0.84911066	
Tex30	na	0.84829134	
Ddit4	na	0.84827703	
Anln	na	0.8477015	
Leprot	na	0.84691316	
Kif2c	na	0.8466113	
Gm16754	na	0.84640443	
Acox1	na	0.8452002	
Map7d1	na	0.84496194	
Anapc10	na	0.84488183	
Mospd2	na	0.8439098	
Stim1	na	0.84354824	
Ccdc18	na	0.8434614	
Luzp1	na	0.84270895	
Map3k9	na	0.8424757	
A530083I20Rik	na	0.8414474	
Phpt1	na	0.84040475	
Pak1ip1	na	0.83972996	
Znhit3	na	0.8383087	
2610204G07Rik	na	0.83784914	
Samd10	na	0.83784914	
Clip2	na	0.83784914	
Copb2	na	0.83781683	
Il15ra	na	0.8376946	
Elmo1	na	0.8372845	
Slc16a3	na	0.8368649	
Mpv17l2	na	0.83682364	
Frmd4b	na	0.83542514	
Ifnar2	na	0.8353611	
Gps2	na	0.8353013	
Axl	na	0.834078	
Nipal1	na	0.83381087	
Ly96	na	0.83371395	
Fam53b	na	0.8337101	
Hist1h2ai	na	0.8337101	
Gm26890	na	0.8337101	
H3f3b	na	0.83286613	
Itgb1	na	0.83216393	
Ngly1	na	0.8320428	
Smad3	na	0.8314306	
Dopey1	na	0.83135974	
Stmn1	na	0.8312997	
Stxbp5	na	0.8302587	
Pmf1	na	0.8298967	
Synj1	na	0.82985026	
Ciz1	na	0.8295097	
Mthfd2	na	0.8288975	
Glrx	na	0.8286959	
Malt1	na	0.8283784	
Gmnn	na	0.82721585	
Pafah1b2	na	0.8271175	
Ssh3	na	0.8266131	
Lima1	na	0.8260989	
4931406C07Rik	na	0.8257428	
Fam219b	na	0.8249664	
Sla	na	0.82438517	
Fam73a	na	0.82430387	
Marcks	na	0.82417715	
Rb1cc1	na	0.8241393	
Rspry1	na	0.8238772	
Plk4	na	0.8232603	
Rps6ka2	na	0.8223107	
Gng10	na	0.8222706	
Pyroxd2	na	0.8201252	
Exosc1	na	0.8193231	
Ugp2	na	0.8192541	
Popdc2	na	0.81905663	
Sapcd2	na	0.8190167	
40788	na	0.8190167	
Nsdhl	na	0.8178589	
Gars	na	0.8173125	
Cdk4	na	0.81693465	
Emp3	na	0.8163109	
Kdm6a	na	0.81598496	
Actr2	na	0.8158723	
Abracl	na	0.8158292	
Gnb1l	na	0.8154394	
Ogfrl1	na	0.8149597	
Rpsa-ps10	na	0.8143293	
Gm12346	na	0.81432265	
Mylpf	na	0.8142268	
Fcer1g	na	0.81320614	
Ccl6	na	0.8129266	
Siglech	na	0.8125554	
Cdca8	na	0.8123951	
Ppm1k	na	0.81147975	
Myl6	na	0.81134945	
Vdac1	na	0.8107627	
Phlpp1	na	0.81051856	
Kif16b	na	0.8104692	
Tbck	na	0.8093025	
Pole	na	0.80823827	
Cdc42	na	0.80796707	
Acly	na	0.80775917	
Rnf13	na	0.8077525	
Polr2d	na	0.8065885	
Syt11	na	0.805943	
Cenpf	na	0.8050393	
2700089E24Rik	na	0.80461115	
Ddrgk1	na	0.804446	
Cd53	na	0.8042724	
Fosb	na	0.80421376	
Arl6ip1	na	0.8036172	
Eif4ebp3	na	0.8031506	
Usp5	na	0.8027809	
Alg1	na	0.8026092	
Drg1	na	0.8024491	
Nfkbil1	na	0.8022339	
Gm26759	na	0.8021667	
Ubtd1	na	0.801383	
Nfia	na	0.80085045	
Fam110a	na	0.80063653	
Vamp8	na	0.80029655	
Coa5	na	0.8001559	
Hirip3	na	0.7984958	
Il1b	na	0.79705834	
Fkbp5	na	0.79642653	
Usp1	na	0.7961701	
Zyx	na	0.7961127	
Ube2v2	na	0.79599166	
Tprgl	na	0.79548156	
Actg1	na	0.7943219	
Ddr1	na	0.79429734	
Dlgap5	na	0.79382473	
AI597468	na	0.79368883	
Grhpr	na	0.7933117	
Dld	na	0.79198796	
Gabpb2	na	0.7916299	
H2afx	na	0.7913798	
Ccr2	na	0.791236	
Tmed7	na	0.790978	
E130012A19Rik	na	0.7903996	
Nde1	na	0.7895556	
Lyrm7	na	0.78936887	
Reck	na	0.7888527	
Mrpl53	na	0.7886616	
Dsel	na	0.78822076	
Far1	na	0.7879979	
Zbtb42	na	0.78770036	
Ubxn4	na	0.7870267	
Gm8325	na	0.786869	
Psen2	na	0.7867117	
B3gnt1	na	0.78659016	
Txn1	na	0.78658575	
Gm10221	na	0.786264	
Fnbp1	na	0.7861292	
Apoc2	na	0.78515023	
Nubp1	na	0.78505105	
Cox6a1	na	0.7835775	
Eif2b1	na	0.78336567	
Tmem50a	na	0.7832649	
Hist2h2aa1	na	0.7830528	
Zwilch	na	0.7827139	
Abhd13	na	0.7823704	
Mdp1	na	0.78200895	
Bpnt1	na	0.78182644	
Mastl	na	0.78136826	
Ssna1	na	0.7812885	
Ms4a6c	na	0.78084135	
Slc4a8	na	0.780568	
Tceb1	na	0.7801751	
Mzf1	na	0.78006744	
Akr1a1	na	0.7798016	
4932438A13Rik	na	0.7794093	
Hist1h2af	na	0.7783593	
Gm26695	na	0.7783593	
Tomm6	na	0.77780396	
Gm15453	na	0.7772133	
Tnfrsf13b	na	0.7770886	
Rap1a	na	0.7765381	
AI413582	na	0.77648693	
Tgfbi	na	0.7762497	
