"","Feature.ID","rfTestPred","X1","X2"
"32211","Rilpl2","2",0.005,0.995
"32360","Rnf43","2",0.005,0.995
"32405","Rora","2",0.005,0.995
"34029","Slc39a4","2",0.005,0.995
"35005","Stmn1","2",0.005,0.995
"4668","Ccna2","2",0.006,0.994
"4867","Cdca7","2",0.006,0.994
"5236","Cisd1","2",0.006,0.994
"5373","Clspn","2",0.006,0.994
"5824","Cst7","2",0.006,0.994
"7620","Fam110a","2",0.006,0.994
"8225","Foxm1","2",0.006,0.994
"8264","Frmd4b","2",0.006,0.994
"15511","Gm21972","2",0.006,0.994
"24229","Itfg3","2",0.006,0.994
"24248","Itgb1","2",0.006,0.994
"25028","Lgals3","2",0.006,0.994
"27938","Ncapg","2",0.006,0.994
"30964","Pomp","2",0.006,0.994
"31790","Rad51ap1","2",0.006,0.994
"31826","Ran","2",0.006,0.994
"33088","S100a11","2",0.006,0.994
"35250","Tacc3","2",0.006,0.994
"36831","Ttc39c","2",0.006,0.994
"38017","Wdhd1","2",0.006,0.994
"38114","Whsc1","2",0.006,0.994
"3532","Axl","2",0.007,0.993
"4096","Bub1","2",0.007,0.993
"5007","Cenph","2",0.007,0.993
"5011","Cenpl","2",0.007,0.993
"5609","Cox5a","2",0.007,0.993
"6495","Depdc1a","2",0.007,0.993
"22458","Gmnn","2",0.007,0.993
"22543","Got2","2",0.007,0.993
"25686","Mcm2","2",0.007,0.993
"25689","Mcm4","2",0.007,0.993
"30910","Pold2","2",0.007,0.993
"34233","Smco4","2",0.007,0.993
"36923","Txn1","2",0.007,0.993
"2751","Alyref","2",0.008,0.992
"2914","Anp32e","2",0.008,0.992
"4702","Ccr2","2",0.008,0.992
"5249","Ckap5","2",0.008,0.992
"6500","Dera","2",0.008,0.992
"22826","Gstt2","2",0.008,0.992
"24073","Impa2","2",0.008,0.992
"25039","Lgmn","2",0.008,0.992
"26659","Mmd","2",0.008,0.992
"28530","Nuf2","2",0.008,0.992
"30299","Pcyox1l","2",0.008,0.992
"32519","RP23-45G16.5","2",0.008,0.992
"34730","Spock2","2",0.008,0.992
"718","2700094K13Rik","2",0.009,0.991
"3293","Aspm","2",0.009,0.991
"3682","Bard1","2",0.009,0.991
"3944","Blmh","2",0.009,0.991
"7158","Ehd1","2",0.009,0.991
"8101","Fignl1","2",0.009,0.991
"24016","Il1r2","2",0.009,0.991
"25442","Mafg_1","2",0.009,0.991
"25630","Matk","2",0.009,0.991
"28064","Nek2","2",0.009,0.991
"31169","Prc1","2",0.009,0.991
"2531","Ahr","2",0.01,0.99
"3860","Bcl2a1b","2",0.01,0.99
"5247","Ckap2l","2",0.01,0.99
"7074","Ect2","2",0.01,0.99
"7590","Fabp5","2",0.01,0.99
"25437","Maf","2",0.01,0.99
"30495","Pgp","2",0.01,0.99
"30843","Plxnd1","2",0.01,0.99
"30915","Pole","2",0.01,0.99
"33153","Sapcd2","2",0.01,0.99
"33591","Sgol1","2",0.01,0.99
"35735","Tipin","2",0.01,0.99
"36871","Tuba1c","2",0.01,0.99
"702","2700029M09Rik","2",0.011,0.989
"3208","Arpc4","2",0.011,0.989
"4413","Casc5","2",0.011,0.989
"4980","Cebpb","2",0.011,0.989
"23256","Hmbs","2",0.011,0.989
"23581","Ide","2",0.011,0.989
"24553","Kif22","2",0.011,0.989
"25133","Lmnb1","2",0.011,0.989
"25605","Marcksl1","2",0.011,0.989
"25691","Mcm6","2",0.011,0.989
"28156","Nhp2l1","2",0.011,0.989
"32115","Rgs16","2",0.011,0.989
"32351","Rnf26","2",0.011,0.989
"34914","St6galnac4","2",0.011,0.989
"35742","Tk1","2",0.011,0.989
"36121","Tnfaip8_1","2",0.011,0.989
"37909","Vmp1","2",0.011,0.989
"694","2610318N02Rik","2",0.012,0.988
"2065","Abi2","2",0.012,0.988
"4403","Carhsp1","2",0.012,0.988
"4569","Ccdc34","2",0.012,0.988
"4704","Ccr4","2",0.012,0.988
"5392","Cmc2","2",0.012,0.988
"7003","E2f1","2",0.012,0.988
"7981","Fbxw8","2",0.012,0.988
"23015","Haus4","2",0.012,0.988
"25112","Litaf","2",0.012,0.988
"26618","Mki67","2",0.012,0.988
"32275","Rnaseh2b","2",0.012,0.988
"4488","Ccdc104","2",0.013,0.987
"5013","Cenpn","2",0.013,0.987
"33082","Ryk","2",0.013,0.987
"33343","Sec11c","2",0.013,0.987
"4371","Capns1","2",0.014,0.986
"6539","Dhrs1","2",0.014,0.986
"7093","Eea1","2",0.014,0.986
"25588","Mapre2","2",0.014,0.986
"32375","Rnpep","2",0.014,0.986
"3323","Atad5","2",0.015,0.985
"6872","Dtl","2",0.015,0.985
"24185","Irf4","2",0.015,0.985
"24562","Kif2c","2",0.015,0.985
"24598","Klf10","2",0.015,0.985
"30274","Pcna","2",0.015,0.985
"31186","Prdx1","2",0.015,0.985
"31595","Ptprj","2",0.015,0.985
"32078","Rfk","2",0.015,0.985
"33651","Shcbp1","2",0.015,0.985
"34464","Snrnp25","2",0.015,0.985
"34476","Snrpd1","2",0.015,0.985
"34606","Spag5","2",0.015,0.985
"36148","Tnfsf11","2",0.015,0.985
"2524","Ahcy","2",0.016,0.984
"8357","Fzr1","2",0.016,0.984
"25685","Mcm10","2",0.016,0.984
"31584","Ptpn7","2",0.016,0.984
"32073","Rfc3","2",0.016,0.984
"33117","Sae1","2",0.016,0.984
"35991","Tmem256","2",0.016,0.984
"2529","Ahnak","2",0.017,0.983
"3085","Arhgap11a","2",0.017,0.983
"4697","Ccp110","2",0.017,0.983
"4789","Cd44","2",0.017,0.983
"4809","Cd74","2",0.017,0.983
"5479","Cntrob","2",0.017,0.983
"7474","Etfb","2",0.017,0.983
"8484","Gatad1","2",0.017,0.983
"22806","Gsr","2",0.017,0.983
"23277","Hmgb2","2",0.017,0.983
"25929","Mid1ip1","2",0.017,0.983
"30482","Pgk1","2",0.017,0.983
"30897","Podnl1","2",0.017,0.983
"34649","Spc25","2",0.017,0.983
"35934","Tmem2","2",0.017,0.983
"2076","Abracl","2",0.018,0.982
"2561","AI662270","2",0.018,0.982
"6746","Dnmt1","2",0.018,0.982
"25514","Manf","2",0.018,0.982
"30197","Pbk","2",0.018,0.982
"31789","Rad51","2",0.018,0.982
"34814","Srgn","2",0.018,0.982
"35201","Syt11","2",0.018,0.982
"36918","Twsg1","2",0.018,0.982
"2324","Adam19","2",0.019,0.981
"3320","Atad2","2",0.019,0.981
"3876","Bcl7c","2",0.019,0.981
"6304","Dck","2",0.019,0.981
"8513","Gcat","2",0.019,0.981
"22900","Gzmb","2",0.019,0.981
"23286","Hmgn2","2",0.019,0.981
"24498","Kdelr2","2",0.019,0.981
"25187","Lrba","2",0.019,0.981
"27922","Nav2","2",0.019,0.981
"29977","Osbpl3","2",0.019,0.981
"30308","Pdcd1lg2","2",0.019,0.981
"31759","Rab8b","2",0.019,0.981
"33329","Sdhd","2",0.019,0.981
"36249","Tpi1","2",0.019,0.981
"4418","Casp1","2",0.02,0.98
"5293","Cldn25","2",0.02,0.98
"6917","Dut","2",0.02,0.98
"7173","Eif1ax","2",0.02,0.98
"30422","Pepd","2",0.02,0.98
"35728","Timp2","2",0.02,0.98
"4146","C1qbp","2",0.021,0.979
"4859","Cdc6","2",0.021,0.979
"5592","Coro2b","2",0.021,0.979
"5865","Ctnna1","2",0.021,0.979
"23420","Hras","2",0.021,0.979
"24539","Kif14","2",0.021,0.979
"31827","Ranbp1","2",0.021,0.979
"35744","Tkt","2",0.021,0.979
"2621","Akip1","2",0.022,0.978
"3546","Azin1","2",0.022,0.978
"3847","Bcat1","2",0.022,0.978
"4814","Cd82","2",0.022,0.978
"20238","Gm2a","2",0.022,0.978
"25272","Lrrc59","2",0.022,0.978
"27548","Myadm","2",0.022,0.978
"33096","S100a6","2",0.022,0.978
"36882","Tubb4b","2",0.022,0.978
"37158","Unc119","2",0.022,0.978
"23574","Icos","2",0.023,0.977
"24083","Incenp","2",0.023,0.977
"28634","Odc1","2",0.023,0.977
"35676","Thoc6","2",0.023,0.977
"37196","Uqcc2","2",0.023,0.977
"6535","Dhfr","2",0.024,0.976
"7644","Fam129a","2",0.024,0.976
"8414","Gadd45b","2",0.024,0.976
"8575","Gfm1","2",0.024,0.976
"23154","Higd1a","2",0.024,0.976
"23608","Ifi30","2",0.024,0.976
"24975","Lcorl","2",0.024,0.976
"26612","Mis18a","2",0.024,0.976
"27291","Mrps30","2",0.024,0.976
"27854","Naa50","2",0.024,0.976
"34043","Slc43a3","2",0.024,0.976
"36929","Txndc17","2",0.024,0.976
"38228","Xrcc6bp1","2",0.024,0.976
"5986","Cyfip1","2",0.025,0.975
"7004","E2f2","2",0.025,0.975
"24550","Kif20b","2",0.025,0.975
"33094","S100a4","2",0.025,0.975
"3968","Bmp7","2",0.026,0.974
"3994","Bora","2",0.026,0.974
"4313","Calhm2","2",0.026,0.974
"8008","Fdps","2",0.026,0.974
"22772","Grn","2",0.026,0.974
"23151","Hif1a","2",0.026,0.974
"23171","Hirip3","2",0.026,0.974
"30095","Paics","2",0.026,0.974
"31058","Ppme1","2",0.026,0.974
"31172","Prdm1","2",0.026,0.974
"32231","Ripk3","2",0.026,0.974
"35048","Stx6","2",0.026,0.974
"38275","Ywhae","2",0.026,0.974
"2492","Agfg1","2",0.027,0.973
"7547","Ezh2","2",0.027,0.973
"23161","Hint1","2",0.027,0.973
"24734","Kpna3","2",0.027,0.973
"25692","Mcm7","2",0.027,0.973
"28155","Nhp2","2",0.027,0.973
"31460","Psmb5","2",0.027,0.973
"33904","Slc25a39","2",0.027,0.973
"3673","Baiap3","2",0.028,0.972
"5585","Coq7","2",0.028,0.972
"6868","Dstn","2",0.028,0.972
"7412","Ercc1","2",0.028,0.972
"23410","Hprt","2",0.028,0.972
"24142","Ipmk","2",0.028,0.972
"25324","Lsm6","2",0.028,0.972
"25419","M6pr","2",0.028,0.972
"28075","Nelfe","2",0.028,0.972
"30586","Pif1","2",0.028,0.972
"37177","Ung","2",0.028,0.972
"37343","Vdac1","2",0.028,0.972
"2230","Acot11","2",0.029,0.971
"2506","Agpat4","2",0.029,0.971
"4202","C330027C09Rik","2",0.029,0.971
"7126","Efhd2","2",0.029,0.971
"8017","Fen1","2",0.029,0.971
"22450","Gmds","2",0.029,0.971
"25939","Mif","2",0.029,0.971
"30368","Pdk3","2",0.029,0.971
"4680","Ccne1","2",0.03,0.97
"6262","Dars2","2",0.03,0.97
"22724","Grb2","2",0.03,0.97
"22845","Gtf2h4","2",0.03,0.97
"24656","Klhl5","2",0.03,0.97
"30706","Pla2g12a","2",0.03,0.97
"30813","Plk3","2",0.03,0.97
"31468","Psmc1","2",0.03,0.97
"34224","Smc2","2",0.03,0.97
"35020","Stra13","2",0.03,0.97
"36220","Topbp1","2",0.03,0.97
"2456","Aebp2","2",0.031,0.969
"4252","Cab39","2",0.031,0.969
"4815","Cd83","2",0.031,0.969
"7472","Etf1","2",0.031,0.969
"7962","Fbxw11","2",0.031,0.969
"23584","Idh3a","2",0.031,0.969
"24126","Ints10","2",0.031,0.969
"25802","Mesdc1","2",0.031,0.969
"28052","Nedd8","2",0.031,0.969
"30504","Phactr2","2",0.031,0.969
"34797","Src","2",0.031,0.969
"4507","Ccdc124","2",0.032,0.968
"7054","Ebi3","2",0.032,0.968
"7681","Fam162a","2",0.032,0.968
"23493","Hspa5","2",0.032,0.968
"28024","Ndufb9","2",0.032,0.968
"31582","Ptpn5","2",0.032,0.968
"31835","Rangap1","2",0.032,0.968
"33592","Sgol2","2",0.032,0.968
"35050","Stx8","2",0.032,0.968
"3465","Atxn1","2",0.033,0.967
"4295","Cad","2",0.033,0.967
"4373","Caprin1","2",0.033,0.967
"23322","Hnrnpll","2",0.033,0.967
"24259","Itgb8","2",0.033,0.967
"25561","Map7d1","2",0.033,0.967
"28274","Noa1","2",0.033,0.967
"30906","Pola1","2",0.033,0.967
"31343","Prr11","2",0.033,0.967
"31603","Ptprs","2",0.033,0.967
"31696","Rab11a","2",0.033,0.967
"33719","Siva1","2",0.033,0.967
"34182","Slmo2","2",0.033,0.967
"34471","Snrpa","2",0.033,0.967
"198","1700017B05Rik","2",0.034,0.966
"4317","Calm3","2",0.034,0.966
"7456","Espl1","2",0.034,0.966
"30781","Plekhb2","2",0.034,0.966
"31654","Pycr2","2",0.034,0.966
"31783","Rad18","2",0.034,0.966
"2699","Aldoa","2",0.035,0.965
"3172","Arl5a","2",0.035,0.965
"3809","BC052040","2",0.035,0.965
"4098","Bub3","2",0.035,0.965
"4543","Ccdc167","2",0.035,0.965
"5731","Crlf2","2",0.035,0.965
"27852","Naa38","2",0.035,0.965
"33616","Sh3bgrl","2",0.035,0.965
"33734","Ska1","2",0.035,0.965
"2025","Abcc4","2",0.036,0.964
"4575","Ccdc41","2",0.036,0.964
"5665","Cpsf2","2",0.036,0.964
"7223","Eif4h","2",0.036,0.964
"10669","Gm12744","2",0.036,0.964
"25469","Maged1","2",0.036,0.964
"25623","Mast2","2",0.036,0.964
"33872","Slc25a1","2",0.036,0.964
"35380","Tbc1d31","2",0.036,0.964
"3417","Atp5o","2",0.037,0.963
"5112","Chaf1b","2",0.037,0.963
"8135","Flnb","2",0.037,0.963
"24896","Lamp2","2",0.037,0.963
"27281","Mrps18c","2",0.037,0.963
"28109","Nfatc1","2",0.037,0.963
"34237","Smdt1","2",0.037,0.963
"34533","Sod2","2",0.037,0.963
"35393","Tbcd","2",0.037,0.963
"37099","Uchl5","2",0.037,0.963
"37223","Usmg5","2",0.037,0.963
"4354","Canx","2",0.038,0.962
"4836","Cdc25a","2",0.038,0.962
"5012","Cenpm","2",0.038,0.962
"6569","Diap3","2",0.038,0.962
"7515","Exoc2","2",0.038,0.962
"7957","Fbxo6","2",0.038,0.962
"8120","Fkbp5","2",0.038,0.962
"24858","Ksr1","2",0.038,0.962
"25528","Map2k3","2",0.038,0.962
"30158","Parp1","2",0.038,0.962
"30170","Parpbp","2",0.038,0.962
"35741","Tjp3","2",0.038,0.962
"35818","Tmed10","2",0.038,0.962
"36080","Tmpo","2",0.038,0.962
"36730","Tsen34","2",0.038,0.962
"26691","Mms22l","2",0.039,0.961
"36843","Ttf2","2",0.039,0.961
"36986","Uba6","2",0.039,0.961
"2187","Acads","2",0.04,0.96
"3090","Arhgap19","2",0.04,0.96
"4357","Capg","2",0.04,0.96
"7428","Erh","2",0.04,0.96
"23516","Htatip2","2",0.04,0.96
"24272","Itpa","2",0.04,0.96
"27300","Mrps6","2",0.04,0.96
"30709","Pla2g16","2",0.04,0.96
"30800","Plekho2","2",0.04,0.96
"31481","Psmd2","2",0.04,0.96
"35839","Tmem109","2",0.04,0.96
"36145","Tnfrsf8","2",0.04,0.96
"5610","Cox5b","2",0.041,0.959
"5903","Ctsz","2",0.041,0.959
"5932","Cwc15","2",0.041,0.959
"24915","Larp1b_1","2",0.041,0.959
"25722","Mdh2","2",0.041,0.959
"27622","Myo5a","2",0.041,0.959
"30501","Pgrmc2","2",0.041,0.959
"31112","Ppp2r1a","2",0.041,0.959
"34477","Snrpd2","2",0.041,0.959
"35714","Timm13","2",0.041,0.959
"37344","Vdac2","2",0.041,0.959
"38399","Zdhhc6","2",0.041,0.959
"10","0610009O20Rik","2",0.042,0.958
"2899","Anln","2",0.042,0.958
"3409","Atp5g3","2",0.042,0.958
"5416","Cnbd2","2",0.042,0.958
"22468","Gna15","2",0.042,0.958
"23265","Hmgb1","2",0.042,0.958
"27249","Mrpl36","2",0.042,0.958
"28124","Nfkb2","2",0.042,0.958
"30267","Pck2","2",0.042,0.958
"32072","Rfc2","2",0.042,0.958
"34052","Slc45a4","2",0.042,0.958
"35025","Strap","2",0.042,0.958
"36979","Uap1l1","2",0.042,0.958
"744","2810428I15Rik","2",0.043,0.957
"949","4930427A07Rik","2",0.043,0.957
"2554","AI597468","2",0.043,0.957
"6124","D030056L22Rik","2",0.043,0.957
"6270","Dbi","2",0.043,0.957
"6373","Ddx39","2",0.043,0.957
"6618","Dlgap5","2",0.043,0.957
"23985","Il12rb1","2",0.043,0.957
"27102","Mob1b","2",0.043,0.957
"31606","Ptprv","2",0.043,0.957
"31652","Pycard","2",0.043,0.957
"33843","Slc22a15","2",0.043,0.957
"33876","Slc25a13","2",0.043,0.957
"34312","Snap47","2",0.043,0.957
"34617","Spata13","2",0.043,0.957
"34952","Stard4","2",0.043,0.957
"2946","Ap1s1","2",0.044,0.956
"4471","Cbx5","2",0.044,0.956
"5959","Cxcr5","2",0.044,0.956
"8628","Gins4","2",0.044,0.956
"22812","Gstcd","2",0.044,0.956
"31837","Rap1a","2",0.044,0.956
"33574","Sfxn1","2",0.044,0.956
"35696","Tiam1","2",0.044,0.956
"37374","Vma21","2",0.044,0.956
"8425","Gale","2",0.045,0.955
"11830","Gm14005","2",0.045,0.955
"23282","Hmgcr","2",0.045,0.955
"30305","Pdcd1","2",0.045,0.955
"31212","Prim1","2",0.045,0.955
"33043","Rtn3","2",0.045,0.955
"33345","Sec14l1","2",0.045,0.955
"33800","Slc16a1","2",0.045,0.955
"37199","Uqcrb","2",0.045,0.955
"37950","Vrk1","2",0.045,0.955
"5431","Cnih4","2",0.046,0.954
"28328","Npas4","2",0.046,0.954
"30538","Phgdh","2",0.046,0.954
"31565","Ptplad1","2",0.046,0.954
"34900","St14","2",0.046,0.954
"35885","Tmem160","2",0.046,0.954
"36144","Tnfrsf4","2",0.046,0.954
"36215","Top2a","2",0.046,0.954
"3458","Atpif1","2",0.047,0.953
"5029","Cep170b","2",0.047,0.953
"24977","Lcp2","2",0.047,0.953
"30260","Pcgf2","2",0.047,0.953
"30850","Pmf1","2",0.047,0.953
"35976","Tmem242","2",0.047,0.953
"38277","Ywhah","2",0.047,0.953
"8462","Gar1","2",0.048,0.952
"22495","Gng2","2",0.048,0.952
"23507","Hspd1","2",0.048,0.952
"24243","Itgae","2",0.048,0.952
"25762","Med30","2",0.048,0.952
"28060","Neil3","2",0.048,0.952
"30059","P4hb","2",0.048,0.952
"36908","Tusc3","2",0.048,0.952
"36996","Ubash3b","2",0.048,0.952
"38278","Ywhaq","2",0.048,0.952
"7067","Eci1","2",0.049,0.951
"7623","Fam111a","2",0.049,0.951
"8328","Fut7","2",0.049,0.951
"25756","Med24","2",0.049,0.951
"27241","Mrpl27","2",0.049,0.951
"33032","Rtca","2",0.049,0.951
"34608","Spag7","2",0.049,0.951
"2678","Alcam","2",0.05,0.95
"5046","Cep85","2",0.05,0.95
"8700","Glrx5","2",0.05,0.95
"27974","Ndc1","2",0.05,0.95
"28303","Nop9","2",0.05,0.95
"28584","Nxt1","2",0.05,0.95
"30038","Oxsr1","2",0.05,0.95
"5604","Cox19","2",0.051,0.949
"5886","Ctsb","2",0.051,0.949
"6734","Dnase2a","2",0.051,0.949
"23069","Hdgf","2",0.051,0.949
"24892","Lamc1","2",0.051,0.949
"25411","Lzic","2",0.051,0.949
"28105","Nf2","2",0.051,0.949
"28540","Nup155","2",0.051,0.949
"5409","Cmtm7","2",0.052,0.948
"7009","E2f7","2",0.052,0.948
"22780","Grwd1","2",0.052,0.948
"22802","Gskip","2",0.052,0.948
"27853","Naa40","2",0.052,0.948
"31570","Ptpn11","2",0.052,0.948
"37046","Ubl3","2",0.052,0.948
"6822","Dpy30","2",0.053,0.947
"24209","Isg15","2",0.053,0.947
"25185","Lpxn","2",0.053,0.947
"27395","Mt1","2",0.053,0.947
"28521","Nudt21","2",0.053,0.947
"641","2410127L17Rik","2",0.054,0.946
"6726","Dnajc9","2",0.054,0.946
"7153","Egr2","2",0.054,0.946
"23479","Hsp90aa1","2",0.054,0.946
"24219","Isoc2a","2",0.054,0.946
"27989","Ndst1","2",0.054,0.946
"28658","Ola1","2",0.054,0.946
"30420","Penk","2",0.054,0.946
"30693","Pkm","2",0.054,0.946
"1696","9430038I01Rik","2",0.055,0.945
"2622","Akirin1","2",0.055,0.945
"3201","Arnt2","2",0.055,0.945
"22839","Gtf2e2","2",0.055,0.945
"24146","Ipo5","2",0.055,0.945
"24714","Klrg1","2",0.055,0.945
"25132","Lmna","2",0.055,0.945
"27614","Myo1c","2",0.055,0.945
"27995","Ndufa11","2",0.055,0.945
"28089","Neu3","2",0.055,0.945
"28456","Nsmf","2",0.055,0.945
"34495","Snx12","2",0.055,0.945
"38212","Xpnpep1","2",0.055,0.945
"5374","Clstn1","2",0.056,0.944
"6883","Dtymk","2",0.056,0.944
"7150","Egln3","2",0.056,0.944
"8082","Fh1","2",0.056,0.944
"23289","Hmgn3","2",0.056,0.944
"28506","Nudcd2","2",0.056,0.944
"31910","Rbbp7","2",0.056,0.944
"32074","Rfc4","2",0.056,0.944
"33912","Slc25a46","2",0.056,0.944
"34480","Snrpf","2",0.056,0.944
"36870","Tuba1b","2",0.056,0.944
"37025","Ube2n","2",0.056,0.944
"2528","Ahi1","2",0.057,0.943
"4958","Cdv3","2",0.057,0.943
"5981","Cybb","2",0.057,0.943
"22675","Gpr68","2",0.057,0.943
"24983","Ldha","2",0.057,0.943
"34775","Spsb3","2",0.057,0.943
"36229","Tox","2",0.057,0.943
"6259","Dapp1","2",0.058,0.942
"27616","Myo1e","2",0.058,0.942
"28167","Ninj1","2",0.058,0.942
"30859","Pmpcb","2",0.058,0.942
"31038","Ppil1","2",0.058,0.942
"31449","Psma4","2",0.058,0.942
"31784","Rad21","2",0.058,0.942
"32027","Reep3","2",0.058,0.942
"33807","Slc16a3","2",0.058,0.942
"36146","Tnfrsf9","2",0.058,0.942
"37204","Uqcrq","2",0.058,0.942
"2262","Acsl5","2",0.059,0.941
"2864","Ankrd32","2",0.059,0.941
"3517","AW112010","2",0.059,0.941
"7452","Esco2","2",0.059,0.941
"7873","Farsb","2",0.059,0.941
"8803","Gm10143","2",0.059,0.941
"23192","Hist1h2ap","2",0.059,0.941
"24112","Inppl1","2",0.059,0.941
"24615","Klhdc10","2",0.059,0.941
"30067","Pabpc4","2",0.059,0.941
"30907","Pola2","2",0.059,0.941
"31111","Ppp2cb","2",0.059,0.941
"31226","Prkar1a","2",0.059,0.941
"31699","Rab11fip1","2",0.059,0.941
"32934","Rps27l","2",0.059,0.941
"33826","Slc19a1","2",0.059,0.941
"4428","Casp8ap2","2",0.06,0.94
"6145","D17H6S56E-5","2",0.06,0.94
"8458","Gapdh","2",0.06,0.94
"24005","Il18r1","2",0.06,0.94
"27274","Mrps12","2",0.06,0.94
"28556","Nup93","2",0.06,0.94
"33769","Slbp","2",0.06,0.94
"36603","Trim37","2",0.06,0.94
"2435","Adprh","2",0.061,0.939
"2953","Ap2s1","2",0.061,0.939
"5568","Cops2","2",0.061,0.939
"7846","Fam92a","2",0.061,0.939
"8828","Gm10184","2",0.061,0.939
"27535","Mvb12a","2",0.061,0.939
"28366","Nptn","2",0.061,0.939
"31797","Rad54l","2",0.061,0.939
"36647","Trip13","2",0.061,0.939
"37197","Uqcr10","2",0.061,0.939
"37929","Vps29","2",0.061,0.939
"815","3830406C13Rik","2",0.062,0.938
"2925","Anxa4","2",0.062,0.938
"4018","Brca2","2",0.062,0.938
"23080","Heatr3","2",0.062,0.938
"24961","Lclat1","2",0.062,0.938
"28473","Nt5e","2",0.062,0.938
"30955","Polr3k","2",0.062,0.938
"32318","Rnf157","2",0.062,0.938
"35257","Tada2a","2",0.062,0.938
"4141","C1d","2",0.063,0.937
"5219","Ciao1","2",0.063,0.937
"22533","Golt1b","2",0.063,0.937
"23165","Hip1r","2",0.063,0.937
"25575","Mapk6","2",0.063,0.937
"27301","Mrps7","2",0.063,0.937
"28430","Nrn1","2",0.063,0.937
"31710","Rab19","2",0.063,0.937
"34876","Ssrp1","2",0.063,0.937
"37024","Ube2m","2",0.063,0.937
"37955","Vsig10","2",0.063,0.937
"6336","Dcxr","2",0.064,0.936
"25940","Mif4gd","2",0.064,0.936
"28537","Nup107","2",0.064,0.936
"30595","Pigk","2",0.064,0.936
"30743","Plbd2","2",0.064,0.936
"3943","Blm","2",0.065,0.935
"22882","Guf1","2",0.065,0.935
"30799","Plekho1","2",0.065,0.935
"34978","Stil","2",0.065,0.935
"36126","Tnfrsf10b","2",0.065,0.935
